IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,aicomfort,aitrust,treatment,statement,statementtotaltime,statementnumberclicks,cointasktimer,tasktimer_Click Count,heads,modalflips,expectedlied,expectedshirk,justifylie,risktolerance,liesonprolific,liessignificantother,liesdatingapps,liesontaxes,liedoncointask,qualtricsID,prolificid,Reviewed at,Time taken,Totalprolificapprovals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,session,Submission id
92.40.214.87,402,3/29/26 00:46,R_8lC5CFGta2ZyCXL,52.9538,-1.1571,EN,80,69,c,,,,1.301,1,10,6,66,63,If there was a situation where lots of people were scared and were panicking about a situation i think under reporting would be justified,75,0,60,10,60,2,R_8lC5CFGta2ZyCXL,5823c1b185e40e00012f2e68,2026-03-28T19:25:12.158000Z,192,9128,41,Female,Asian,Philippines,United States,United States,English,No,Full-Time,3,69c8260e7194cacd096bb798
174.50.242.82,150,3/28/26 13:33,R_7I3de20Jxi0l9iV,36.1714,-86.662,EN,100,90,c,,,,2.602,1,10,10,75,90,When you have nothing to lose by the event. When you seriously do not care about the outcome at all. When there are no consequences anyway.,85,0,0,0,5,2,R_7I3de20Jxi0l9iV,67c869872204b85d6c4c0749,2026-03-28T23:43:06.737000Z,8342,3493,25,Male,Mixed,United States,United States,United States,English,Yes,Part-Time,6,69c87ed210c039520497465f
189.203.204.210,602,3/28/26 19:31,R_5HmonbTmuyyqVBD,20.6381,-103.348,EN,100,65,c,,,,3.314,1,10,10,50,45,They are lazy They think there is a correct answer They don't really care,65,0,0,0,0,2,R_5HmonbTmuyyqVBD,5dda26979255ed98d5a7b9f4,2026-03-29T15:03:33.182000Z,609,3076,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8dcb95898ab5fa865a6a3
98.110.206.44,108,3/28/26 19:26,R_17He7XhxL2hnsPm,42.1626,-71.0412,EN,0,0,c,,,,3.338,1,10,10,68,8,Misreporting is not justifiable in any scenario.,37,5,5,5,5,2,R_17He7XhxL2hnsPm,69c3ab3a470473c336d25e9c,2026-03-28T19:23:16.526000Z,860,1487,44,Male,Other,Egypt,Netherlands,Egypt,Arabic,No,Full-Time,4,69c8ed9f97273fc41cb81633
41.116.28.72,233,3/28/26 13:10,R_8ILOCQRmL0vbclC,-26.2309,28.0583,EN,81,39,c,,,,4.026,2,10,10,89,70,If the information provided could be proven to be valid and can be proven,82,90,85,73,0,2,R_8ILOCQRmL0vbclC,69a5dfa3f587ca27e1caf19d,2026-03-28T19:21:44.735000Z,229,1682,27,Male,White,Italy,Italy,Italy,Italian,No,Other,6,69c880f1a2c4aafc231df3e7
86.19.117.109,339,3/28/26 19:29,R_87Ol1oNxwx9bDIG,51.5612,0.1827,EN,80,70,c,,,,4.168,1,10,10,80,80,"Most people who take part in Prolific studies are probably in a fair bit of need of money, and so an extra dollar does genuinely make a difference to them. There's also no real downside, apart from feeling a bit guilty. The money comes from a big well founded univeristy which won't be affected much by an extra hundred dollars or whatever the total amount will be.",60,80,5,5,60,1,R_87Ol1oNxwx9bDIG,5c8c22bafeeaeb0016207a00,2026-03-29T15:02:35.238000Z,415,2064,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,4,69c8c9105da4450e65819f84
86.19.108.175,937,3/28/26 13:28,R_8uCgLVD16Ybo4qh,53.5621,-0.0808,EN,95,95,c,,,,4.308,1,10,10,75,75,the stakes are extremely low and no real harm is caused to others,85,5,10,25,0,1,R_8uCgLVD16Ybo4qh,64a9858be9b52e570ffb3c1e,2026-03-28T19:22:26.561000Z,659,5957,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time,7,69c825d62fca7437759ecdfd
92.20.201.191,602,3/29/26 02:10,R_8jTZBrNXXKBgTSg,52.5876,-1.9828,EN,40,39,c,,,,4.417,1,10,10,40,40,if you had done the same test give a previous answer which you knew was true if you thought the survey was hoping and expecting people to give wrong answers,45,5,44,0,12,2,R_8jTZBrNXXKBgTSg,5e38777a87243b095c67543b,2026-03-28T19:22:09.046000Z,448,5183,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,7,69c825feb90a5127a2849179
67.165.136.51,190,3/28/26 19:25,R_5kcnosnRjQKohCV,41.9198,-88.1367,EN,60,20,c,,,,4.726,1,10,10,80,90,If they couldn't find a coin at all but still wanted to participate in the task. I could see someone still trying to participate and trying to be fair about it.,10,15,25,30,13,2,R_5kcnosnRjQKohCV,5e402dcd7b260d000a7b69fe,2026-03-29T15:01:02.218000Z,193,2118,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8f24cdf46fcbeecc397a2
208.126.53.180,839,3/28/26 13:21,R_5f3vD7Q9uIQDmBM,42.0613,-91.4423,EN,8,45,c,,,,4.792,1,10,10,99,67,"Perhaps they don't have a coin, and they use another similar object with 2 sides. Maybe they are handicapped and have a friend, or family toss it instead.",60,0,0,0,0,2,R_5f3vD7Q9uIQDmBM,6691809035e52ca9b2b0f39a,2026-03-29T01:33:51.780000Z,394,1241,28,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,3,69c82a5e51123e305287d938
86.141.46.126,351,3/29/26 01:30,R_8IrdLQEUmIr3Bux,56.4007,-3.4264,EN,74,76,c,,,,4.974,1,10,10,10,95,"When there is no access to a coin. When getting a coin would be disruptive to those around them. When flipping the coin it would make a noise and disrupt or waken a baby or person. When they didn't have the extra time to look for a coin over the survey time, due to more urgent matters.",45,1,1,0,0,2,R_8IrdLQEUmIr3Bux,5ecd36302b4d3c05d4cc1ba2,2026-03-29T15:01:49.135000Z,563,1089,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,4,69c8dd1a376dbfae011695b7
51.179.205.94,437,3/28/26 13:11,R_8rJyBuxxO3juopQ,51.5662,-0.7649,EN,73,69,c,,,,4.988,1,10,10,81,25,it would never be justifiable as adults we make our children tell the truth so we should lead by example and always tell the truth even if its difficult or we may gain money from lying,30,1,26,41,1,2,R_8rJyBuxxO3juopQ,596e1cc639e9d00001b7bb84,2026-03-28T19:24:27.039000Z,265,1462,31,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month,3,69c825ebd9425b600dfbb9e1
47.199.216.247,271,3/28/26 13:12,R_3LGY43EyrG4de8z,28.0073,-82.5808,EN,75,75,c,,,,5.063,2,10,6,71,85,"Assuming the question is in general and not pertaining specifically to this study, unknowingly misreporting would be justifiable. The person may not have full knowledge of what they missed or did wrong. Maybe they saw wrong.",65,20,20,2,30,2,R_3LGY43EyrG4de8z,69c7e11f699fbeee566a03ef,2026-03-29T01:33:54.456000Z,579,4428,27,Female,White,United States,United States,United States,English,No,Full-Time,4,69c8edf67082a61f0bc6f132
108.6.168.245,215,3/28/26 13:47,R_5r0lbOn5ywYQlnO,40.6286,-73.939,EN,100,62,c,,,,5.118,1,10,6,67,62,There is no justification for misreporting. Shows someone being deceitful and untrustworthy.,78,0,0,0,0,2,R_5r0lbOn5ywYQlnO,663193f4e88fc3a7917655de,2026-03-29T01:42:11.808000Z,695,568,28,Female,White,Spain,Spain,Spain,Catalan,No,Full-Time,4,69c8dd6c71c8e8616a365a36
90.252.144.36,259,3/29/26 02:12,R_2RPyx84ZsCBz0ql,53.5501,-2.4003,EN,91,84,c,,,,5.2,1,10,7,90,90,1) When they did not have a coin. 2) When they entered the data incorrectly through error.,20,58,13,0,1,2,R_2RPyx84ZsCBz0ql,5975ea651a800200011cd0f7,2026-03-29T15:01:49.986000Z,236,737,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8e0399aab5c0e22fa5247
5.70.114.5,438,3/28/26 22:49,R_8pMxfDvRdYWPQYZ,52.5165,1.0231,EN,92,69,c,,,,5.3,1,10,10,95,89,"It would be justifiable if the individual is not expected to be truthful. It would also be justifiable if the individual needs the money. They are, after all, participating and can make their own decisions. I think it could also be justifiable if they under report the true result.",80,0,0,0,0,2,R_8pMxfDvRdYWPQYZ,601fd27860b197531ca7bdcc,2026-03-29T01:42:03.875000Z,1099,1697,37,Female,Black,South Africa,South Africa,South Africa,"English, Afrikaans",No,Full-Time,6,69c87e849d77ef7b662b2312
189.238.53.27,651,3/28/26 19:32,R_5rPRsXGvRCXh1q2,18.0084,-92.8592,EN,40,45,c,,,,5.566,2,10,6,20,20,"If you believe that there is no harm to you and negligible harm to others. For example in this task, if I lie about flipping the coin, I get more money and one could say there is really no harm done to the people responsible for this questionnaire.",25,10,25,0,0,2,R_5rPRsXGvRCXh1q2,699b19eb2744be8e2c9e73ed,2026-03-29T02:16:28.548000Z,1043,747,30,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking),4,69c8c7233fa6758dcb169595
75.166.137.70,467,3/28/26 14:00,R_1lNzfCJIye0xZER,39.7628,-105.0263,EN,52,35,c,,,,5.7,1,10,5,100,95,When study participants actually flipped a coin and it really landed on heads each time or tails each time for 10 straight tries. When study participants wish to receive the largest payout possible and don't believe anyone will check their answers.,65,5,0,0,0,1,R_1lNzfCJIye0xZER,5b06efd1732c5d000154de23,2026-03-29T01:41:36.792000Z,896,4552,50,Male,White,Germany,United Kingdom,United Kingdom,English,No,Full-Time,6,69c87ea728c0b2116c819f84
